"Sub","CellType","Prop"
"1","Endothelial, Cor. Art.",0.281574891524977
"10","Endothelial, Cor. Art.",0.48803709027964
"11","Endothelial, Cor. Art.",0.206807731330087
"12","Endothelial, Cor. Art.",0.177442942827283
"13","Endothelial, Cor. Art.",0.411359313704285
"14","Endothelial, Cor. Art.",0.397051679815718
"15","Endothelial, Cor. Art.",0.504755724803004
"16","Endothelial, Cor. Art.",0.282761106360769
"17","Endothelial, Cor. Art.",0.185184855424856
"18","Endothelial, Cor. Art.",0.359421354471272
"19","Endothelial, Cor. Art.",0.327393466624118
"2","Endothelial, Cor. Art.",0.518227844321982
"20","Endothelial, Cor. Art.",0.372534047015385
"21","Endothelial, Cor. Art.",0.227406864801928
"22","Endothelial, Cor. Art.",0.196791259750411
"23","Endothelial, Cor. Art.",0.290445636457907
"24","Endothelial, Cor. Art.",0.235507411354483
"25","Endothelial, Cor. Art.",0.292202802410149
"26","Endothelial, Cor. Art.",0.580861745095871
"27","Endothelial, Cor. Art.",0.204617810900724
"28","Endothelial, Cor. Art.",0.22547279950386
"29","Endothelial, Cor. Art.",0.257751771607276
"3","Endothelial, Cor. Art.",0.170444083671568
"30","Endothelial, Cor. Art.",0.365657315922235
"31","Endothelial, Cor. Art.",0.474447963645809
"32","Endothelial, Cor. Art.",0.404897177873599
"33","Endothelial, Cor. Art.",0.178263480746931
"34","Endothelial, Cor. Art.",0.284143601657517
"35","Endothelial, Cor. Art.",0.256853988555369
"36","Endothelial, Cor. Art.",0.182973170747272
"37","Endothelial, Cor. Art.",0.284756702307272
"38","Endothelial, Cor. Art.",0.246173733326273
"39","Endothelial, Cor. Art.",0.527459719055551
"4","Endothelial, Cor. Art.",0.193188732174953
"40","Endothelial, Cor. Art.",0.32981221060835
"41","Endothelial, Cor. Art.",0.268972033936096
"42","Endothelial, Cor. Art.",0.457369609102488
"43","Endothelial, Cor. Art.",0.461752519415307
"44","Endothelial, Cor. Art.",0.157257767697822
"5","Endothelial, Cor. Art.",0.22021668322473
"6","Endothelial, Cor. Art.",0.454669744057697
"7","Endothelial, Cor. Art.",0.195566340645251
"8","Endothelial, Cor. Art.",0.305587784286578
"9","Endothelial, Cor. Art.",0.483413529892507
"B6.F.CM.RNA.1","Endothelial, Cor. Art.",0.277927748220871
"B6.F.CM.RNA.2","Endothelial, Cor. Art.",0.163125046815883
"B6.F.CM.RNA.3","Endothelial, Cor. Art.",0.113015231275747
"B6.F.CM.RNA.4","Endothelial, Cor. Art.",0.0557569301668114
"B6.F.CM.RNA.5","Endothelial, Cor. Art.",0.0763211290042342
"B6.F.Fib.RNA.1","Endothelial, Cor. Art.",0
"B6.F.Fib.RNA.3","Endothelial, Cor. Art.",0
"B6.F.Fib.RNA.4","Endothelial, Cor. Art.",0
"B6.F.Fib.RNA.5","Endothelial, Cor. Art.",0
"B6.M.CM.RNA.1","Endothelial, Cor. Art.",0.129001621727776
"B6.M.CM.RNA.3","Endothelial, Cor. Art.",0.261091769225284
"B6.M.CM.RNA.4","Endothelial, Cor. Art.",0.120165113775674
"B6.M.CM.RNA.5","Endothelial, Cor. Art.",0.0697590798195854
"B6.M.Fib.RNA.2","Endothelial, Cor. Art.",0
"B6.M.Fib.RNA.3","Endothelial, Cor. Art.",0
"B6.M.Endo.RNA.1","Endothelial, Cor. Art.",0.800773790499693
"B6.M.Endo.RNA.2","Endothelial, Cor. Art.",0.868614047726788
"B6.M.Endo.RNA.3","Endothelial, Cor. Art.",0.908424753375158
"CM_Sham_19","Endothelial, Cor. Art.",0.00104433688995881
"CM_Sham_20","Endothelial, Cor. Art.",0.00200381914266638
"CM_Sham_21","Endothelial, Cor. Art.",0.0010889216772037
"FB_Sham_10","Endothelial, Cor. Art.",0.0649219806464782
"FB_Sham_11","Endothelial, Cor. Art.",0.0658218265398719
"FB_Sham_12","Endothelial, Cor. Art.",0.0559254963570406
"EC_Sham_1","Endothelial, Cor. Art.",0.820187682224558
"EC_Sham_2","Endothelial, Cor. Art.",0.825489640873945
"EC_Sham_3","Endothelial, Cor. Art.",0.848390732549894
"1","Cardiomyocytes",0.479522103212666
"10","Cardiomyocytes",0.361586627396434
"11","Cardiomyocytes",0.441581168851045
"12","Cardiomyocytes",0.622013732749424
"13","Cardiomyocytes",0.340189942325735
"14","Cardiomyocytes",0.295397787456189
"15","Cardiomyocytes",0.234989370983704
"16","Cardiomyocytes",0.484405660155139
"17","Cardiomyocytes",0.48101505917676
"18","Cardiomyocytes",0.408858574321084
"19","Cardiomyocytes",0.499473620330413
"2","Cardiomyocytes",0.263049178988626
"20","Cardiomyocytes",0.240920579506577
"21","Cardiomyocytes",0.525061818469914
"22","Cardiomyocytes",0.589503180887519
"23","Cardiomyocytes",0.342863114733459
"24","Cardiomyocytes",0.557153688548258
"25","Cardiomyocytes",0.390029984807084
"26","Cardiomyocytes",0.242232158520446
"27","Cardiomyocytes",0.478720124763186
"28","Cardiomyocytes",0.417339860101488
"29","Cardiomyocytes",0.467229480639715
"3","Cardiomyocytes",0.621852196042539
"30","Cardiomyocytes",0.435498093490036
"31","Cardiomyocytes",0.275099636818719
"32","Cardiomyocytes",0.399216468608966
"33","Cardiomyocytes",0.417231893673339
"34","Cardiomyocytes",0.492431174460339
"35","Cardiomyocytes",0.509473090139933
"36","Cardiomyocytes",0.493288493704084
"37","Cardiomyocytes",0.407770267368761
"38","Cardiomyocytes",0.448202319219011
"39","Cardiomyocytes",0.237732657244177
"4","Cardiomyocytes",0.257419633666033
"40","Cardiomyocytes",0.39467984704924
"41","Cardiomyocytes",0.497685287393085
"42","Cardiomyocytes",0.240275476419775
"43","Cardiomyocytes",0.295655963652525
"44","Cardiomyocytes",0.463552241291402
"5","Cardiomyocytes",0.576323764113002
"6","Cardiomyocytes",0.261326478822246
"7","Cardiomyocytes",0.499285633824575
"8","Cardiomyocytes",0.483284413499574
"9","Cardiomyocytes",0.239086938944314
"B6.F.CM.RNA.1","Cardiomyocytes",0.662275106292968
"B6.F.CM.RNA.2","Cardiomyocytes",0.774705628488289
"B6.F.CM.RNA.3","Cardiomyocytes",0.788796498063321
"B6.F.CM.RNA.4","Cardiomyocytes",0.74014639001899
"B6.F.CM.RNA.5","Cardiomyocytes",0.871430188709742
"B6.F.Fib.RNA.1","Cardiomyocytes",0.000124812292515063
